thread_id,id,timestamp,body,subject,author,image_file,image_md5,country_name
62637494,62637494,2018-10-23 16:54:26,"ISS Annihilator Edition

Previous thread: >>62613270

Fantasy Flight Games’ X-Wing, Armada, and Legion
>https://pastebin.com/RKyjSGFq
Fantasy Flight Games’ Star Wars RPG System (Edge of the Empire/Age of Rebellion/Force and Destiny)
>http://pastebin.com/wCRBdus6
Other FFG Star Wars tabletop (Imperial Assault, Destiny and the LCG)
>http://pastebin.com/ZE4gn0yN
FFG Dice App (Works with X-Wing, Armada, the FFG RPG system and Imperial Assault)
>http://www.mediafire.com/download/64xy3uy6vepll8v/com.fantasyflightgames.swdice.ver.1.1.4.build.9.apk

Older Star Wars tabletop (d6, d20/Saga, etc.)
>http://pastebin.com/wXP0LdyJ
Reference materials & misc. resources
>http://pastebin.com/AGFFkSin

All Disney novels and comics (via /co/)
>https://mega.nz/#F!kJtCTR7Q!HNUwVc1B8KB2FrD4Twmb7g
Tons of EU novels and Dark Horse comics
>https://mega.nz/#F!j99HEbrC!GP5TSEEbrBYZIZ73xod4fg
Writefaggotry
>https://pastebin.com/Un1UhzZ

/swr/ download links
>https://pastebin.com/nWsKtSya

Shipfag's hangar
>https://drive.google.com/folderview?id=0ByhAdnTlOKOeQnA4SFByUC1aQWM&usp=sharing
Shipfag's Starship Combat Fixes for EotE/AoR/FaD
>http://www.mediafire.com/file/y9w713etmckbs98/Shipfag.JPG
Heroes of the Aturi Cluster, co-op X-Wing campaign
>http://dockingbay416.com/campaign

Latest news
>https://www.fantasyflightgames.com/en/news/2018/10/9/specialize-your-army/",/swg/ - Star Wars General,Anonymous,Annihilator.jpg,C88iBrbHPF6sSkQYcaBplA==,
62637494,62637594,2018-10-23 16:59:19,">>62636290
That whole introduction is indeed orgasmic, but the rest of the book doesn't really keep the same ""high"".
The movie is better IMO.",,Anonymous,,,
62637494,62637627,2018-10-23 17:01:01,">>62636728
>wearing the clean, ornate armor

Schutta. If you're a bounty hunter you don't get points for looking pretty.",,Anonymous,swtor 2018-10-22 11-25-22-32.png,vuQBda3WRPyia7IjkdRMXg==,
62637494,62637639,2018-10-23 17:01:31,"Second for BIRTHDAY ATTAAAAAACK!!!
https://www.youtube.com/watch?v=gBBHxq_klsQ",,Anonymous,,,
62637494,62637644,2018-10-23 17:02:13,>>62637627,,Anonymous,Jodo Kast.png,dqiTB7qE8Xl9+sMWSVZAbw==,
62637494,62637827,2018-10-23 17:16:56,>tfw no senator gf,,Anonymous,14q41x8lwbqy.jpg,AcTxFFcWeoyXZ472i3Mjng==,
62637494,62637852,2018-10-23 17:18:46,">>62637827
>Chandrila 
>Not the superior Blue Space Afrikaner",,Anonymous,,,
62637494,62637932,2018-10-23 17:24:25,">>62637627
>doesn't keep his equipment cleaned and polished to a mirror sheen
cringe and huttpilled, there's a reason Jango ""fuck the Clawdites, sex war now"" Fett was canonically the best bounty hunter of all time.",,Anonymous,Bounty Hunter PS2 Cover.jpg,v7z4d1jyl5gQp81+HAnyNA==,
62637494,62638155,2018-10-23 17:42:39,">>62637932
>equipment cleaned and polished to a mirror sheen
The new Mandalorian has a proper nice finish on his helmet.",,Anonymous,,,
62637494,62638166,2018-10-23 17:43:33,>>62637494,,Anonymous,1537928933722.jpg,RG+Q0tK0+NXWA4dHjgoo1w==,
62637494,62638465,2018-10-23 18:07:36,">>62638166
I really wish the Nu Republic had ships like this.",,Anonymous,,,
62637494,62638526,2018-10-23 18:11:21,">>62637932
Jango is up there, but we all know Bossk takes the ""Best Bounty Hunter"" Spot",,Anonymous,Bossk_Pepe.png,rpAql3C3vjZ5xP4EsPYWeA==,
62637494,62638564,2018-10-23 18:14:05,">>62637494
What's tougher; an ARC trooper, or a commando?",,Anonymous,1538435495807.gif,tphXTSy4eIQGzcfVgIpPrg==,
62637494,62638572,2018-10-23 18:14:50,">>62638465
Dazzle camo is aesthetic as fuck",,Anonymous,,,
62637494,62638574,2018-10-23 18:14:54,">>62637827
>senator
>not the entire senate",,Anonymous,0CC097C9-F59C-4E04-B5D1-410FC820E38F.jpg,trMKcLBvrv1Lm90pfKgEiQ==,
62637494,62638582,2018-10-23 18:15:21,">>62638564
Either or. The only reason both exist despite basically filling the same niche is because of convergent evolution over simultaneous production lines.",,Anonymous,,,
62637494,62638588,2018-10-23 18:15:41,">>62638465
I really wish the New Republic had ships. Or planets. Or screentime.",,Anonymous,,,
62637494,62638609,2018-10-23 18:16:50,">>62638564
Individually an ARC trooper, but a squad of commandos is more valuable than a squad of ARC troopers.",,Anonymous,,,
62637494,62638656,2018-10-23 18:20:43,">>62638588
I waited three years for the T-85 to come on screen and I ended up with this clown. I wouldn't hold my breath.",,Anonymous,Xwing-resistance.jpg,GXbiMwIEkQ4ljvpDp2i4Qw==,
62637494,62638744,2018-10-23 18:26:20,">>62638588
It has plenty of all those things. You're confusing it with the NuNew Republic. Understandable, Disney wants the fandom to forget the New Republic ever existed.",,Anonymous,,,
62637494,62638772,2018-10-23 18:28:09,">>62638564
Commandos have regenerating shields, portable revive whatsits, and those who aren’t team leaders have infinite ammo. On the other hand, their guns’ rifle mode is a peashooter compared to ARC guns. ARCs win if they get to open with a good alpha strike but CCs win attrition fights.",,Anonymous,,,
62637494,62638889,2018-10-23 18:37:26,">>62638656
I really like it",,Anonymous,,,
62637494,62638996,2018-10-23 18:45:47,">>62638656
That nose has grown on me. Kind of a throwback to the ARC-170",,Anonymous,,,
62637494,62639048,2018-10-23 18:49:34,">>62638656
it looks good outside the show's art style (imo)",,Anonymous,DpQ48hLWsAI_FUt.jpg,plKlrxgHvXvHS2p/anxCTA==,
62637494,62639064,2018-10-23 18:50:39,Got a Legends question. It seemed like the scale of the conflict was larger. How did the Rebellion counter Imperial Super Stardestroyers and battlecruisers when they could barley muster sector armies?,,Anonymous,,,
62637494,62639117,2018-10-23 18:54:07,https://www.fantasyflightgames.com/en/news/2018/10/23/were-in-position/,,Anonymous,,,
62637494,62639122,2018-10-23 18:54:23,"Reposting my thoughts on this unnamed Mon Cal variant from the previous thread.
The Wook puts them down as being roughly twice as large as a Neb-B, albeit with more mass. This would put it in the range of a cruiser or heavy cruiser. Since we see one of these ships take a dud shot from the Galaxy Gun with minimal damage in Dark Empire, we can assume their hulls are somewhat tougher than most Mon Cal ships. It also has landing gear, much like the similarly-sized Acclamator.
Since most Mon Cal warships during the GCW were converted from civilian craft, I'd argue that this ship is a militarized mining vessel/ore hauler. The thicker hull is a defense against asteroid impacts, while the landing gear would allow it to land directly on large planetoids to deploy vehicles and equipment. Since the Alliance was known to modify bulk cruisers into starfighter carriers in Legends, this ship could possibly have filled that same role.",,Anonymous,MCQ-mccruiser.jpg,GUaqDMyNwUKBNtNqb6Nu4A==,
62637494,62639124,2018-10-23 18:54:33,"So, I'm going to be running a game with a mix of EotE and FaD classes. Which GM screen should I get? Does it matter? Should I determine based on what the majority classes are?",,Anonymous,starwarsedge.jpg,z2HBz/H1JpsAX77EP4Mc4g==,
